File,Py==SimpleITK,Py==MONAI,SimpleITK==MONAI,Py_MONAI_RMSE,Py_SITK_RMSE,SITK_MONAI_RMSE,Py_MONAI_MaxError,Py_SITK_MaxError,SITK_MONAI_MaxError,Py_MONAI_DifferentPixels,Py_SITK_DifferentPixels,SITK_MONAI_DifferentPixels
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-012\92092\62714\5f04f3b7-e01b-42bf-a825-cde26ada7839.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-013\60325\65232\6aba3474-6bbe-47f2-b7ca-0de936ce37ce.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-013\60325\74690\6c226d02-fce7-40c1-8054-2553d63df6e5.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-013\60325\90488\fc515c55-810b-4e43-bd99-2be2026186b6.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-014\02418\00055\6693706e-585c-4948-80b4-53b62665a753.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-014\02418\01892\0c45b36e-363b-4433-a65a-ec09536d7e36.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-014\02418\63651\2a5d491f-03c2-45c8-9e96-21d05956c526.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-015\66548\30989\22f91db4-5658-4181-bb0f-4d1548a307b1.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-015\66548\41592\e97faaf4-27bd-48e7-9a63-d5a8ed8124b3.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-015\66548\78604\b6b2cf2a-3851-4d57-9c4b-ec1650bf427c.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-016\49913\57317\8d466ed2-af7f-4992-8e5c-567bc035806d.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-016\49913\72589\5fef8e59-31ee-443a-ba5e-7fa36f345576.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-017\31142\23128\786372a8-6bfa-4226-97d6-d29d434d73b0.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-017\31142\51000\7f803702-e584-4663-84f0-8e46d91284bf.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-017\31142\74130\b22c3f3b-6ba0-4375-9847-5115891724a3.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-018\31467\21203\7b4d2de1-efc2-4456-a753-0b4d323fd32f.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-018\31467\84972\80cae88f-c812-45c7-9f6a-51e1f357b481.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-019\60875\83776\c4945b64-34e8-4ce6-a703-17ef7dc3a4fa.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-019\60875\85436\5c5c4b8d-9821-477d-bfdf-830279e02aca.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-019\60875\96844\dd0957f7-8ee4-418f-98e2-024c8f20338b.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-020\24150\06018\1b937529-a999-415e-84de-c254119d9c03.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-020\24150\69909\db1917b2-0f7c-4ad7-9b9b-9c94ac700d2a.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-021\93895\40958\161ed4ff-a6cc-4fd3-b97e-7c811cb6eaea.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-021\93895\50436\040a9825-9e84-483c-8401-a7407dc75834.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-021\93895\99860\64cfdc53-1231-4875-88be-c8372af505d0.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-022\55187\31371\31087c97-dcb3-4af0-9412-9d43eb0c47ef.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-022\55187\33911\e30c07d7-8306-4a1d-8374-76b813767b70.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-022\55187\86465\aacf6142-ae42-4924-a4f6-8145960e5cfc.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-023\09848\49143\d596e218-2786-4b85-a07d-eba6c0f04c4c.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-023\09848\72447\9faa0694-9c5b-4f2d-bce4-61c357f847bf.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-023\09848\97511\f84e9d0b-863f-4cc3-8899-cd7ef30508e5.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-024\27350\10961\da7d65f9-bec3-47fe-a1fa-a21d2b908ec8.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-024\27350\13326\736296aa-efb7-40f3-9c02-d72742b9df79.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-024\27350\65060\3a6ba9e2-c33d-4cf8-865d-781d044d1657.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-025\06516\49712\64f0965d-0d71-4d0f-ada9-86182b789563.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-025\06516\52570\0479e010-a1e5-4d47-b89c-909c1e42f9ed.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-026\18895\36204\83ae22fb-e9d6-471b-a806-57389549fc71.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-026\18895\78638\e0ad2747-cd72-4aa7-86e5-b1fe0a141096.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-026\18895\88693\005cdf4b-6e80-4f0c-8b60-65d6383118e4.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-027\46693\03750\58d5153a-b653-4d6e-8baa-7812b30b6be4.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-027\46693\35268\704ac642-3c6f-48d0-8db4-f9e68c854adc.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-027\46693\76377\793eb56d-19f8-4dec-a23e-dc0249ab368e.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-028\19244\23035\477b6569-cff2-4cfd-b2f9-49fec1a0f9a8.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-028\19244\51265\fd3d23ec-0125-4392-9e28-30df7bc8b98a.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-028\19244\88193\a5c25ecd-180b-4e6a-a0e8-2a6cb95df7fe.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-029\64963\12326\3d4c9600-3614-4486-9c5d-e0cb044f78b0.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-029\64963\66540\2db84697-f2ae-4e5f-9492-310c98b7107b.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-029\64963\88014\04e82628-1ae4-47b8-b7e4-69858a9cbe02.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-030\63882\23708\9fc4da8e-17e6-49c0-8e1f-af67e0d50981.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-030\63882\44503\e4c03535-73fe-45b9-af78-3c9cf2da504b.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-030\63882\55113\04f6e8fe-75e9-4c4d-baba-0a36495bad25.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-031\74871\30976\22ef6a0f-3eaf-4c1e-8a37-6458efe1d986.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-031\74871\58475\25ab5a41-2d87-4db9-9858-4a72d3410690.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-032\19172\23829\a151a00f-8d3e-421e-b11d-04dc8dd0d3ec.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-032\19172\71284\639b3244-0ab6-4da7-a8f0-efba946ab544.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-032\19172\90626\db3cf47a-a6ea-4ccd-a0c2-905cb3f6ba81.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-033\17864\45639\e4bd92d0-a6a8-467c-810c-37e50e897cd9.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-033\17864\97050\c14d9998-5609-41f1-88c0-e0e40fa3e4cc.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-034\96469\32907\df5b6a0c-3af9-431f-bb85-1c64bb4bd8a9.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-034\96469\46168\05353349-7267-43d0-8b93-8966db99f954.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-034\96469\98489\3e50e07d-682a-428d-9ddf-bf347e7f0789.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-035\87434\14279\8fd1a486-a491-4c25-a86a-ee42916b1ce0.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-035\87434\43681\ea6f4cb3-0ee0-414e-8e24-2bc18eb727c2.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-035\87434\86407\8c6ce9e9-b1e1-4e0f-99dd-9cda106d02fd.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-036\03653\30268\e33e5b04-c5c7-4e17-a489-6f57ab42000f.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-036\03653\31120\d12cbe2c-c7ed-4b7d-bcac-0e361416ec1d.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-036\03653\35731\6fe19e3b-8aca-4453-bd26-2be8133b0755.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-037\29786\05319\b8276097-f85b-4a94-ac8a-b071a22bed23.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-037\29786\91833\f38a033b-c127-467d-9f98-5eff350e6f2c.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-038\98555\04084\7d556b5e-33ba-443c-9acb-e17b6098982d.dcm,True,,,,0.0,,,0.0,,,0.0,
