filename,dataset,comparison_status,manufacturer,manufacturer_model,sop_class,transfer_syntax,photometric,n_frames,doppler_candidate,evidence,raw_array_shape,monai_shape_CHW,acquisition_type,monai_ready,spp_validation,root_cause
c4a5bfb8-7caf-46d4-b242-7999fd1f52ae.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,227,False,no validated evidence,227x378x378,"(1, 227, 378, 378)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
5c848efe-e6f3-4d9f-a4ad-1d12842e0837.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,227,False,no validated evidence,227x378x378,"(1, 227, 378, 378)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
ab459939-e9a9-4bcf-9901-54e228bcc6c3.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,227,False,no validated evidence,227x360x360,"(1, 227, 360, 360)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
ea1d2986-fb05-4b89-9a51-5047a11dd071.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,226,False,no validated evidence,226x378x378,"(1, 226, 378, 378)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
dd6b7a21-8c7c-4f50-a4cb-48d876c8e2a7.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,227,False,no validated evidence,227x360x360,"(1, 227, 360, 360)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
19103580-b14c-4b24-b280-cd7e643c6249.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,226,False,no validated evidence,226x378x378,"(1, 226, 378, 378)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
f1e79ae6-57ee-45cb-b427-91c9df04ce53.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,227,False,no validated evidence,227x378x378,"(1, 227, 378, 378)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
a532189d-b802-4380-ab04-d5653d413187.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,226,False,no validated evidence,226x358x358,"(1, 226, 358, 358)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
0222ba2b-7234-4b4e-859e-b2899d327d74.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,227,False,no validated evidence,227x378x378,"(1, 227, 378, 378)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
71d787ec-e84c-436c-9b16-72e0915456b2.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,227,False,no validated evidence,227x378x378,"(1, 227, 378, 378)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
